City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-francois,46.4154,3.9054,282.27,100,40,1.03,FR,1730754942
84,bredasdorp,-34.5322,20.0403,284.16,72,51,2.17,ZA,1730754750
85,petropavlovsk-kamchatsky,53.0452,158.6483,263.48,73,0,4.0,RU,1730754756
86,bridlington,54.0831,-0.1919,283.79,4,100,3.13,GB,1730754945
87,balsas,-7.5325,-46.0356,306.55,35,100,2.29,BR,1730754790
88,invercargill,-46.4,168.35,287.05,78,50,4.02,NZ,1730754948
89,bac lieu,9.285,105.7244,298.99,88,100,3.54,VN,1730754822
90,udachny,66.4167,112.4,253.18,98,100,3.76,RU,1730754950
91,weno,7.4515,151.8468,301.98,76,73,5.04,FM,1730754951
92,fale old settlement,-9.3852,-171.2468,299.38,87,100,8.59,TK,1730754952
93,peniche,39.3558,-9.3811,292.15,95,91,8.12,PT,1730754953
94,maintirano,-18.0667,44.0167,299.68,79,91,2.82,MG,1730754955
95,villa ocampo,-28.4875,-59.3551,304.3,50,90,4.78,AR,1730754956
96,coruripe,-10.1256,-36.1756,297.14,71,21,3.95,BR,1730754957
97,luderitz,-26.6481,15.1594,286.63,49,5,13.63,NA,1730754958
98,hamilton,39.1834,-84.5333,297.62,60,100,5.66,US,1730754540
99,tapes,-30.6733,-51.3958,296.69,85,0,5.38,BR,1730754961
100,hithadhoo,-0.6,73.0833,301.12,68,26,4.27,MV,1730754962
101,malabar,-33.9667,151.25,293.02,76,75,3.6,AU,1730754963
102,kingston,17.997,-76.7936,301.68,79,75,8.75,JM,1730754949
103,iskateley,67.6803,53.1512,271.06,96,100,4.17,RU,1730754965
104,tiksi,71.6872,128.8694,248.37,99,76,2.41,RU,1730754967
105,kodiak,57.79,-152.4072,275.88,65,0,0.0,US,1730754968
106,nahiyat ash shinafiyah,31.5874,44.6602,295.31,50,0,3.58,IQ,1730754969
107,beyneu,45.3167,55.2,277.35,52,3,4.79,KZ,1730754973
108,benjamin constant,-4.3831,-70.0311,304.18,62,20,0.0,BR,1730754975
109,la'ie,21.6477,-157.9253,302.81,78,44,6.39,US,1730754978
110,ust-tsilma,65.441,52.1498,267.05,96,81,2.13,RU,1730754980
111,bozdar wada,27.1828,68.636,300.52,38,0,4.19,PK,1730754983
112,onega,63.9061,38.1404,274.26,75,93,8.61,RU,1730754986
113,wenatchee,47.4235,-120.3103,284.31,72,20,3.09,US,1730754989
114,midvagur,62.0511,-7.1939,283.61,100,100,5.14,FO,1730754991
115,talnakh,69.4865,88.3972,266.01,95,76,4.85,RU,1730754993
116,bamboo flat,11.7,92.7167,298.2,94,40,4.63,IN,1730754996
117,ponta delgada,37.7333,-25.6667,294.55,88,75,4.12,PT,1730754997
118,westport,41.1415,-73.3579,286.66,67,40,3.6,US,1730754762
119,ha tinh,18.3333,105.9,294.81,98,100,3.91,VN,1730754999
120,sovet,38.0467,69.5882,291.16,38,96,3.98,TJ,1730755000
